SectionNumber,Topic,Details,RelevantArticle
"12.","SECURITY (ARTICLE 32)","","Article 32"
"12.1","Security Measures (TOMs)","The Processor shall implement appropriate technical and organisational measures:","Article 32"
"12.1(a)","Measure: Pseudo/Encryption","Pseudonymisation and encryption","Article 32"
"12.1(b)","Measure: Resilience","Ongoing confidentiality, integrity, availability and resilience","Article 32"
"12.1(c)","Measure: Restoration","Ability to restore availability after incidents","Article 32"
"12.1(d)","Measure: Testing","Regular testing and evaluation of measures","Article 32"
"12.2","Annex C","Security measures are detailed in Annex C.","Article 32"
"13.","DATA BREACH NOTIFICATION (ARTICLES 33-34)","","Articles 33-34"
"13.1","Processor to Controller Notification","The Processor shall notify the Controller without undue delay upon becoming aware of a breach.","Articles 33-34"
"13.2","Notification Content","Notification shall describe:","Articles 33-34"
"13.2(a)","Content: Nature","Nature of the breach","Articles 33-34"
"13.2(b)","Content: Scope","Categories and numbers affected","Articles 33-34"
"13.2(c)","Content: Consequences","Likely consequences","Articles 33-34"
"13.2(d)","Content: Measures","Measures to address the breach","Articles 33-34"
"13.3","Controller to Authority Notification","The Controller shall notify the supervisory authority within 72 hours if required.","Article 33"
"13.4","Controller to Data Subject Notification","Data Subjects shall be notified if the breach poses high risk.","Article 34"
"14.","DATA PROTECTION IMPACT ASSESSMENT (ARTICLE 35)","","Article 35"
"14.1","Controller DPIA","The Controller shall conduct DPIA for high-risk Processing.","Article 35"
"14.2","Processor Assistance","The Processor shall assist by providing:","Article 35"
"14.2(a)","Assistance: Description","Description of Processing operations","Article 35"
"14.2(b)","Assistance: Assessment","Assessment of necessity and proportionality","Article 35"
"14.2(c)","Assistance: Risks","Risks to Data Subject rights","Article 35"
"14.2(d)","Assistance: Mitigation","Mitigation measures","Article 35"
"15.","DATA PROTECTION OFFICER (ARTICLES 37-39)","","Articles 37-39"
"15.1","DPO Contact","The Processor has designated a Data Protection Officer: Contact: dpo@processor.com","Articles 37-39"
"15.2","DPO Tasks","The DPO shall:","Articles 37-39"
"15.2(a)","Task: Advise","Inform and advise on GDPR obligations","Articles 37-39"
"15.2(b)","Task: Monitor","Monitor compliance","Articles 37-39"
"15.2(c)","Task: Advise on DPIA","Advise on DPIAs","Articles 37-39"
"15.2(d)","Task: Cooperate","Cooperate with supervisory authority","Articles 37-39"
"15.2(e)","Task: Contact Point","Act as contact point","Articles 37-39"
"16.","RECORDS OF PROCESSING (ARTICLE 30)","","Article 30"
"16.1","Processor ROPA","The Processor shall maintain records of Processing activities including:","Article 30"
"16.1(a)","Record: Name/Contact","Name and contact details","Article 30"
"16.1(b)","Record: Categories","Categories of Processing","Article 30"
"16.1(c)","Record: Transfers","International transfers","Article 30"
"16.1(d)","Record: Security","Security measures description","Article 30"
"17.","AUDIT RIGHTS","",""
"17.1","Controller Right","The Controller may audit the Processor's compliance.",""
"17.2","Processor Obligation","The Processor shall provide access to documentation, facilities and personnel.",""
"17.3","Notice","Reasonable notice shall be provided unless urgent circumstances exist.",""
